Number_ID,Day,Number,Plate_ID,Time,Strain,GFP,RFP,Pillar_angle,Pillar_height,Pillar_length,Base_length,Straight_height,Titled_height,Width,Proportion,Tower
180,13,15,16,2,A+B,A,B,12.407,2.78,2.813,0.186,0.68,0.744,0.065,50/50,
181,13,16,17,2,A+C,A,C,-0.963,2.604,2.616,0.247,1.485,1.475,0.155,50/50,
182,13,17,24,2,A+B,A,B,4.827,2.527,2.481,0.1299,0.794,0.767,0.155,50/50,
183,13,18,26,2,A+C,C,A,6.582,2.549,2.588,0.268,1.495,1.514,0.366,50/50,
184,13,19,27,2,A+C,C,A,1.501,2.56,2.517,0.32,0.99,0.942,0.124,50/50,
185,13,20,28,2,A+C,C,A,21.457,2.242,2.373,0.124,0.629,0.563,0.103,50/50,
186,13,21,32,2,A+C,C,A,6.273,3.165,3.118,0.155,1.948,2.001,0.258,50/50,
187,13,22,12,3,A+B,A,B,3.053,2.462,2.476,0.103,1.052,0.965,0.176,50/50,
188,13,23,13,3,A+C,C,A,-3.062,2.736,2.674,0.278,1.361,1.449,0.309,50/50,
189,13,24,15,3,A+C,C,A,0.616,3.099,3.066,0.062,0.351,0.3292,0.093,50/50,
190,13,25,16,3,A+B,A,B,12.407,2.78,2.813,0.227,1.649,1.993,0.14,50/50,
191,13,26,17,3,A+C,A,C,-0.963,2.604,2.616,0.206,0.835,0.867,0.134,50/50,
192,13,27,18,3,A+C,C,A,3.677,2.725,2.742,0.239,1.113,1.139,0.082,50/50,
193,13,28,24,3,A+B,A,B,4.827,2.527,2.481,0.262,0.856,0.949,0.165,50/50,
194,13,29,26,3,A+C,C,A,6.582,2.549,2.588,0.34,1.876,1.867,0.444,50/50,
195,13,30,27,3,A+C,C,A,1.501,2.56,2.517,0.278,1.371,1.382,0.33,50/50,
196,13,31,32,3,A+C,C,A,6.273,3.165,3.118,0.072,0.464,0.485,0.103,50/50,
197,13,32,11,4,A+C,A,C,2.663,2.231,2.365,0.113,1.216,1.189,0.134,50/50,Yes
198,13,33,12,4,A+B,A,B,3.053,2.462,2.476,0.165,0.825,0.866,0.158,50/50,Yes
199,13,34,13,4,A+C,C,A,-3.062,2.736,2.674,0.237,2.062,2.038,0.474,50/50,Yes
200,13,35,16,4,A+B,A,B,12.407,2.78,2.813,0.289,2.031,2.494,0.306,50/50,Yes
201,13,36,17,4,A+C,A,C,-0.963,2.604,2.616,0.237,1.577,1.573,0.258,50/50,Yes
202,13,37,24,4,A+B,A,B,4.827,2.527,2.481,0.278,1.186,1.217,0.145,50/50,Yes
203,13,38,26,4,A+C,C,A,6.582,2.549,2.588,0.268,2.237,2.198,0.623,50/50,Yes
204,13,39,27,4,A+C,C,A,1.501,2.56,2.517,0.206,2.041,1.997,0.474,50/50,Yes
205,13,40,32,4,A+C,C,A,6.273,3.165,3.118,0.124,1.464,1.505,0.155,50/50,Yes
206,13,41,33,4,A+C,A,C,-6.157,2.593,2.664,0.103,0.588,0.644,0.093,50/50,No
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
